code,name,industry,group,roa,roe,debt_ratio,current_ratio,quick_ratio,asset_turnover,inventory_turnover,ar_turnover,cf_to_revenue,interest_coverage,roa_2019,roe_2019,debt_ratio_2019,current_ratio_2019,quick_ratio_2019,roa_2020,roe_2020,debt_ratio_2020,current_ratio_2020,quick_ratio_2020,roa_2021,roe_2021,debt_ratio_2021,current_ratio_2021,quick_ratio_2021,roa_growth
600176,中国巨石股份有限公司,建材,标杆,0.089512,0.17458,0.495138,0.919622,0.76206,0.359819,4.353783,9.769461,0.247734,9.58572,0.062893,0.13143,0.521473,0.784352,0.606916,0.065595,0.13135,0.500611,0.961569,0.824723,0.140049,0.26096,0.463331,1.012945,0.854541,1.226801
600552,凯盛科技股份有限公司,建材,标杆,0.027037,0.069184,0.61036,1.223542,0.751873,0.70637,2.590112,4.268104,0.041306,2.760783,0.020137,0.051211,0.606789,1.374358,0.84748,0.024898,0.066713,0.626796,1.117719,0.698674,0.036076,0.089627,0.597494,1.178549,0.709467,0.791516
600497,云南驰宏锌锗股份有限公司,有色,绿色,0.015414,0.02646,0.414454,0.403821,0.180717,0.644393,10.065643,967.447486,0.147881,2.849138,0.024398,0.042942,0.431834,0.299908,0.118147,0.002981,0.005078,0.413042,0.414031,0.170933,0.018863,0.031359,0.398486,0.497526,0.253069,-0.226884
002378,崇义章源钨业股份有限公司,有色,绿色,-0.011465,-0.021573,0.565814,1.20204,0.634205,0.524193,1.98905,12.184242,0.162205,0.806968,-0.079757,-0.173944,0.541482,1.308629,0.718178,0.009616,0.022191,0.566677,1.160151,0.592362,0.035746,0.087034,0.589285,1.137339,0.592074,1.448191
601600,中国铝业股份有限公司（广西18）,有色,争议,0.021955,0.056554,0.629062,0.772133,0.45591,1.073058,9.934166,59.770588,0.088167,2.428102,0.007338,0.021066,0.651677,0.703747,0.421742,0.0082,0.022428,0.634409,0.738726,0.421613,0.050328,0.126167,0.601101,0.873926,0.524375,5.858707
600362,江西铜业股份有限公司（贵溪冶炼厂19）,有色,争议,0.023406,0.049819,0.534892,1.334645,0.826446,2.264105,9.828653,70.296707,0.01969,5.005344,0.016147,0.036901,0.562442,1.229032,0.835319,0.017347,0.036552,0.525422,1.387973,0.807103,0.036725,0.076005,0.516813,1.38693,0.836917,1.274459
000630,铜陵有色金属集团股份有限公司（金威铜业分公司18）,有色,争议,0.035969,0.081887,0.575402,1.164633,0.594136,2.14074,7.824629,71.393945,0.030478,4.981263,0.021228,0.05083,0.582374,1.089014,0.589619,0.018417,0.046518,0.604078,1.133379,0.509428,0.068261,0.148314,0.539755,1.271507,0.683359,2.215613
600531,河南豫光金铅股份有限公司23,有色,绿色,0.025156,0.081193,0.689071,1.207129,0.378624,1.792931,3.56357,165.590357,0.020364,2.32226,0.019826,0.062271,0.681622,1.215923,0.371959,0.025878,0.083194,0.688944,1.127527,0.319908,0.029763,0.098113,0.696647,1.277938,0.444003,0.501237
600456,宝鸡钛业股份有限公司,有色,独立测试集,0.044553,0.085764,0.482469,2.340474,1.476593,0.486302,1.465498,3.470452,0.048322,5.890422,0.034638,0.068967,0.497762,2.41576,1.488505,0.045876,0.091941,0.501035,1.994562,1.260244,0.053144,0.096382,0.44861,2.611101,1.68103,0.534276
000807,云南铝业股份有限公司,有色,标杆,0.052012,0.111701,0.597241,0.445233,0.219228,0.814049,8.196361,495.839403,0.16229,4.586714,0.013775,0.043362,0.682323,0.441998,0.277449,0.030079,0.089673,0.664574,0.348731,0.144497,0.112183,0.202069,0.444826,0.544969,0.235737,7.143997
