company,year,status,tif
崇义章源钨业股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\崇义章源钨业股份有限公司_2019_rgb.tif
崇义章源钨业股份有限公司,2021,Batch job 'j-260608153055483f9b5ee7f24e6e61e4' didn't finish successfully. Status: error (after 0:02:27).,
中国铝业股份有限公司（广西18）,2019,Batch job 'j-2606081533284886874be3e9814e1868' didn't finish successfully. Status: error (after 0:02:20).,
中国铝业股份有限公司（广西18）,2021,Batch job 'j-2606081535534452b005b87cbe562522' didn't finish successfully. Status: error (after 0:01:54).,
江西铜业股份有限公司（贵溪冶炼厂19）,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\江西铜业股份有限公司贵溪冶炼厂19_2019_rgb.tif
江西铜业股份有限公司（贵溪冶炼厂19）,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\江西铜业股份有限公司贵溪冶炼厂19_2021_rgb.tif
铜陵有色金属集团股份有限公司（金威铜业分公司18）,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\铜陵有色金属集团股份有限公司金威铜业分公司18_2019_rgb.tif
铜陵有色金属集团股份有限公司（金威铜业分公司18）,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\铜陵有色金属集团股份有限公司金威铜业分公司18_2021_rgb.tif
河南豫光金铅股份有限公司23,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\河南豫光金铅股份有限公司23_2019_rgb.tif
河南豫光金铅股份有限公司23,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\河南豫光金铅股份有限公司23_2021_rgb.tif
宝鸡钛业股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\宝鸡钛业股份有限公司_2019_rgb.tif
宝鸡钛业股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\宝鸡钛业股份有限公司_2021_rgb.tif
