code,year,index,mean,std,min,max,p10,p90,valid_pixels,status,name,industry,group
601003,2019,NDVI,0.1054,0.2067,-0.4883,1.0245,-0.1101,0.4088,37555,ok_cached,柳州钢铁股份有限公司,钢铁,绿色
601003,2019,NDWI,-0.0535,0.2121,-0.7252,0.6811,-0.3577,0.194,37555,ok_cached,柳州钢铁股份有限公司,钢铁,绿色
601003,2021,NDVI,0.0453,0.1442,-0.718,0.6175,-0.0378,0.1969,37555,ok_cached,柳州钢铁股份有限公司,钢铁,绿色
601003,2021,NDWI,-0.0213,0.136,-0.5055,0.659,-0.1481,0.0699,37555,ok_cached,柳州钢铁股份有限公司,钢铁,绿色
000786,2019,NDVI,0.2643,0.1736,-0.0399,0.797,0.0807,0.531,32118,ok,北新集团建材股份有限公司,建材,绿色
000786,2019,NDWI,-0.3038,0.143,-0.7363,0.216,-0.5168,-0.1422,32118,ok,北新集团建材股份有限公司,建材,绿色
000786,2021,NDVI,0.2715,0.1966,-0.1713,0.9211,0.0679,0.5751,32118,ok,北新集团建材股份有限公司,建材,绿色
000786,2021,NDWI,-0.3133,0.1692,-0.8576,0.4007,-0.5689,-0.1281,32118,ok,北新集团建材股份有限公司,建材,绿色
002233,2019,NDVI,0.7418,0.2104,-0.4622,0.9186,0.4413,0.8704,37370,ok,广东塔牌集团股份有限公司,建材,独立测试集
002233,2019,NDWI,-0.6435,0.194,-0.8315,0.6328,-0.7585,-0.4414,37370,ok,广东塔牌集团股份有限公司,建材,独立测试集
002233,2021,NDVI,,,,,,,0,Batch job 'j-2606081514514dd78406b841eea58026' didn't finish successfully. Status: error (after 0:02:27).,广东塔牌集团股份有限公司,建材,独立测试集
002233,2021,NDWI,,,,,,,0,Batch job 'j-260608151725433fadc9fbf74286339d' didn't finish successfully. Status: error (after 0:01:50).,广东塔牌集团股份有限公司,建材,独立测试集
600176,2019,NDVI,0.2878,0.187,-0.3079,0.8576,0.0865,0.5649,36312,ok,中国巨石股份有限公司,建材,标杆
600176,2019,NDWI,-0.2784,0.1579,-0.7544,0.3409,-0.4983,-0.1075,36312,ok,中国巨石股份有限公司,建材,标杆
600176,2021,NDVI,0.2835,0.1177,-0.491,0.8633,0.157,0.4439,34888,ok,中国巨石股份有限公司,建材,标杆
600176,2021,NDWI,-0.2762,0.0993,-0.7677,0.2995,-0.41,-0.1725,34888,ok,中国巨石股份有限公司,建材,标杆
600552,2019,NDVI,0.3203,0.1965,-0.0596,0.8291,0.0785,0.6097,34170,ok,凯盛科技股份有限公司,建材,标杆
600552,2019,NDWI,-0.3274,0.1598,-0.7533,0.2522,-0.5542,-0.1248,34170,ok,凯盛科技股份有限公司,建材,标杆
600552,2021,NDVI,0.3465,0.198,-0.0875,0.867,0.0977,0.6325,34170,ok,凯盛科技股份有限公司,建材,标杆
600552,2021,NDWI,-0.344,0.1647,-0.7647,0.1656,-0.5736,-0.1339,34170,ok,凯盛科技股份有限公司,建材,标杆
600585,2019,NDVI,0.3011,0.1997,-0.371,0.8423,0.0718,0.5934,35350,ok,安徽海螺水泥股份有限公司,建材,绿色
600585,2019,NDWI,-0.2774,0.1731,-0.7323,0.4421,-0.5179,-0.0844,35350,ok,安徽海螺水泥股份有限公司,建材,绿色
600585,2021,NDVI,0.368,0.2369,-0.4156,0.8945,0.0948,0.7039,35350,ok,安徽海螺水泥股份有限公司,建材,绿色
600585,2021,NDWI,-0.3416,0.2091,-0.8039,0.51,-0.6134,-0.1164,35350,ok,安徽海螺水泥股份有限公司,建材,绿色
600801,2019,NDVI,0.1209,0.3036,-0.3885,0.8261,-0.3059,0.5333,36134,ok,华新水泥股份有限公司,建材,争议
600801,2019,NDWI,-0.1261,0.2859,-0.7207,0.4772,-0.4875,0.278,36134,ok,华新水泥股份有限公司,建材,争议
600801,2021,NDVI,0.069,0.2896,-0.4499,0.758,-0.3554,0.445,36134,ok,华新水泥股份有限公司,建材,争议
600801,2021,NDWI,-0.0606,0.2873,-0.6583,0.4776,-0.4011,0.3721,36134,ok,华新水泥股份有限公司,建材,争议
600819,2019,NDVI,0.2793,0.2262,-0.3333,0.9013,0.0169,0.6135,35525,ok,上海耀皮玻璃集团股份有限公司,建材,棕色
600819,2019,NDWI,-0.2681,0.1946,-0.8014,0.3951,-0.5398,-0.0523,35525,ok,上海耀皮玻璃集团股份有限公司,建材,棕色
600819,2021,NDVI,0.285,0.2344,-0.3927,0.9187,0.0038,0.6428,35525,ok,上海耀皮玻璃集团股份有限公司,建材,棕色
600819,2021,NDWI,-0.2554,0.2,-0.7942,0.4891,-0.5518,-0.0132,35525,ok,上海耀皮玻璃集团股份有限公司,建材,棕色
601992,2019,NDVI,0.2672,0.1781,-0.0824,0.828,0.0622,0.5292,31916,ok,北京金隅集团股份有限公司,建材,争议
601992,2019,NDWI,-0.301,0.1682,-0.745,0.2885,-0.5267,-0.131,31916,ok,北京金隅集团股份有限公司,建材,争议
601992,2021,NDVI,0.3792,0.265,-0.3392,0.9311,0.0641,0.7805,31916,ok,北京金隅集团股份有限公司,建材,争议
601992,2021,NDWI,-0.383,0.2238,-0.8394,0.5009,-0.6909,-0.1332,31916,ok,北京金隅集团股份有限公司,建材,争议
603737,2019,NDVI,0.4863,0.2974,-0.2531,0.8925,0.0423,0.8209,37555,ok,三棵树涂料股份有限公司,建材,争议
