code,name,industry,group,year,index,lat,lon,facility
600426,华鲁恒升化工股份有限公司,化工,标杆,2021,ndwi,37.38,116.33,华鲁恒升德州基地
000815,中冶美利云产业投资股份有限公司,造纸,争议,2019,ndvi,37.52,105.2,美利云中卫基地
000815,中冶美利云产业投资股份有限公司,造纸,争议,2019,ndwi,37.52,105.2,美利云中卫基地
000815,中冶美利云产业投资股份有限公司,造纸,争议,2021,ndvi,37.52,105.2,美利云中卫基地
000815,中冶美利云产业投资股份有限公司,造纸,争议,2021,ndwi,37.52,105.2,美利云中卫基地
002067,浙江景兴纸业股份有限公司,造纸,绿色,2019,ndvi,30.68,121.09,景兴纸业平湖基地
002067,浙江景兴纸业股份有限公司,造纸,绿色,2019,ndwi,30.68,121.09,景兴纸业平湖基地
002067,浙江景兴纸业股份有限公司,造纸,绿色,2021,ndvi,30.68,121.09,景兴纸业平湖基地
002067,浙江景兴纸业股份有限公司,造纸,绿色,2021,ndwi,30.68,121.09,景兴纸业平湖基地
002078,山东太阳纸业股份有限公司,造纸,标杆,2019,ndvi,35.55,116.83,太阳纸业兖州基地
002078,山东太阳纸业股份有限公司,造纸,标杆,2019,ndwi,35.55,116.83,太阳纸业兖州基地
002078,山东太阳纸业股份有限公司,造纸,标杆,2021,ndvi,35.55,116.83,太阳纸业兖州基地
002078,山东太阳纸业股份有限公司,造纸,标杆,2021,ndwi,35.55,116.83,太阳纸业兖州基地
600356,牡丹江恒丰纸业股份有限公司,造纸,棕色,2019,ndvi,44.58,129.6,恒丰纸业牡丹江基地
600356,牡丹江恒丰纸业股份有限公司,造纸,棕色,2019,ndwi,44.58,129.6,恒丰纸业牡丹江基地
600356,牡丹江恒丰纸业股份有限公司,造纸,棕色,2021,ndvi,44.58,129.6,恒丰纸业牡丹江基地
600356,牡丹江恒丰纸业股份有限公司,造纸,棕色,2021,ndwi,44.58,129.6,恒丰纸业牡丹江基地
600433,广东冠豪高新技术股份有限公司,造纸,争议,2019,ndvi,21.2,110.38,冠豪高新湛江基地
600433,广东冠豪高新技术股份有限公司,造纸,争议,2019,ndwi,21.2,110.38,冠豪高新湛江基地
600433,广东冠豪高新技术股份有限公司,造纸,争议,2021,ndvi,21.2,110.38,冠豪高新湛江基地
600433,广东冠豪高新技术股份有限公司,造纸,争议,2021,ndwi,21.2,110.38,冠豪高新湛江基地
600567,山鹰国际控股股份有限公司,造纸,争议,2019,ndvi,31.67,118.5,山鹰国际马鞍山基地
600567,山鹰国际控股股份有限公司,造纸,争议,2019,ndwi,31.67,118.5,山鹰国际马鞍山基地
600567,山鹰国际控股股份有限公司,造纸,争议,2021,ndvi,31.67,118.5,山鹰国际马鞍山基地
600567,山鹰国际控股股份有限公司,造纸,争议,2021,ndwi,31.67,118.5,山鹰国际马鞍山基地
600963,岳阳林纸股份有限公司,造纸,绿色,2019,ndvi,29.45,113.13,岳阳林纸城陵矶基地
600963,岳阳林纸股份有限公司,造纸,绿色,2019,ndwi,29.45,113.13,岳阳林纸城陵矶基地
600963,岳阳林纸股份有限公司,造纸,绿色,2021,ndvi,29.45,113.13,岳阳林纸城陵矶基地
600963,岳阳林纸股份有限公司,造纸,绿色,2021,ndwi,29.45,113.13,岳阳林纸城陵矶基地
603165,浙江荣晟环保纸业股份有限公司,造纸,标杆,2019,ndvi,30.67,121.11,荣晟环保平湖基地
603165,浙江荣晟环保纸业股份有限公司,造纸,标杆,2019,ndwi,30.67,121.11,荣晟环保平湖基地
603165,浙江荣晟环保纸业股份有限公司,造纸,标杆,2021,ndvi,30.67,121.11,荣晟环保平湖基地
603165,浙江荣晟环保纸业股份有限公司,造纸,标杆,2021,ndwi,30.67,121.11,荣晟环保平湖基地
000488,山东晨鸣纸业集团股份有限公司,造纸,独立测试集,2019,ndvi,36.88,118.79,晨鸣纸业寿光造纸基地
000488,山东晨鸣纸业集团股份有限公司,造纸,独立测试集,2019,ndwi,36.88,118.79,晨鸣纸业寿光造纸基地
000488,山东晨鸣纸业集团股份有限公司,造纸,独立测试集,2021,ndvi,36.88,118.79,晨鸣纸业寿光造纸基地
000488,山东晨鸣纸业集团股份有限公司,造纸,独立测试集,2021,ndwi,36.88,118.79,晨鸣纸业寿光造纸基地
600004,广州白云国际机场股份有限公司,航空,棕色,2019,ndvi,23.39,113.3,广州白云国际机场
600004,广州白云国际机场股份有限公司,航空,棕色,2019,ndwi,23.39,113.3,广州白云国际机场
600004,广州白云国际机场股份有限公司,航空,棕色,2021,ndvi,23.39,113.3,广州白云国际机场
600004,广州白云国际机场股份有限公司,航空,棕色,2021,ndwi,23.39,113.3,广州白云国际机场
600009,上海国际机场股份有限公司,航空,标杆,2019,ndvi,31.14,121.8,上海浦东国际机场
600009,上海国际机场股份有限公司,航空,标杆,2019,ndwi,31.14,121.8,上海浦东国际机场
600009,上海国际机场股份有限公司,航空,标杆,2021,ndvi,31.14,121.8,上海浦东国际机场
600009,上海国际机场股份有限公司,航空,标杆,2021,ndwi,31.14,121.8,上海浦东国际机场
600029,中国南方航空股份有限公司,航空,绿色,2019,ndvi,23.39,113.3,广州白云国际机场
